日期,时间,脑电连接信号是否正常,专注度,放松度,Delta,Theta,Alpha1,Alpha2,Beta1,Beta2,Gamma1,Gamma2
06/02/2024,18:41:23,0,1,75,221040,67653,54281,106103,12156,11650,904,1925
06/02/2024,18:41:24,0,13,84,12603,25037,34039,139908,4522,12023,2010,968
06/02/2024,18:41:25,0,17,87,44607,29925,15488,35988,6765,3876,2736,713
06/02/2024,18:41:26,0,30,75,138260,45988,46404,64467,6902,5507,3674,1845
06/02/2024,18:41:27,0,35,80,5219,10830,17319,48761,9182,6403,3884,885
06/02/2024,18:41:28,0,34,80,35224,8907,9684,57057,8047,3511,2555,2906
06/02/2024,18:41:29,0,29,81,34776,9534,21882,23657,15109,2247,1776,1697
06/02/2024,18:41:30,0,34,84,6007,25123,6566,91158,2223,5569,2603,1058
06/02/2024,18:41:31,0,24,78,50481,38884,22337,47883,6850,3747,1220,2507
06/02/2024,18:41:32,0,23,70,76094,53556,31459,83298,3426,6892,4485,4088
06/02/2024,18:41:33,0,29,64,232432,53138,10504,41800,6469,8151,4242,3117
06/02/2024,18:41:34,0,29,64,136170,36163,54555,68841,4010,6599,1966,2741
06/02/2024,18:41:35,0,26,66,528268,57470,28804,83361,6515,4509,2160,2994
06/02/2024,18:41:36,0,34,69,14268,8095,8003,37037,4070,3726,3709,1147
06/02/2024,18:41:37,0,34,78,73800,34597,6040,93608,7498,12032,2077,1498
06/02/2024,18:41:38,0,34,75,22297,13210,32865,20219,7786,2921,1593,648
06/02/2024,18:41:39,0,34,84,241948,8181,49916,2693,1754,1553,756,512
06/02/2024,18:41:40,0,30,77,224164,31627,5220,39910,6093,5545,6330,4394
06/02/2024,18:41:41,0,26,83,27208,18886,29232,84166,2908,7072,2793,2938
06/02/2024,18:41:42,0,11,81,61509,98134,37022,168294,10554,2467,5141,2377
06/02/2024,18:41:43,0,17,70,20450,19897,2352,52445,17154,3524,8689,3979
06/02/2024,18:41:44,0,26,67,331862,10902,3526,8652,1439,3456,746,1638
06/02/2024,18:41:45,0,30,60,67214,36100,17788,70643,11105,7733,5681,2021
06/02/2024,18:41:46,0,43,61,96612,13806,28917,7466,1957,1462,469,934
06/02/2024,18:41:47,0,53,64,50595,15448,20710,66582,16664,11466,3294,2318
06/02/2024,18:41:48,0,51,66,8061,33132,32350,48040,27500,13589,3264,2377
06/02/2024,18:41:49,0,56,64,59328,22186,16056,40970,15253,8347,4831,6884
06/02/2024,18:41:50,0,61,47,613109,272317,40101,36988,18659,14874,2936,2575
06/02/2024,18:41:51,0,57,30,32231,68929,11812,18762,15716,7702,1461,2090
06/02/2024,18:41:52,0,44,30,49972,10020,10362,2451,1820,790,329,153
06/02/2024,18:41:53,0,50,26,22954,14199,6113,9173,3707,5365,1775,1616
06/02/2024,18:41:54,0,53,34,221728,7712,4575,1671,2387,863,126,57
06/02/2024,18:41:55,0,50,54,2951,7051,8016,40241,1350,3136,2043,728
06/02/2024,18:41:56,0,57,57,20566,5156,3624,19923,7768,2556,1925,1232
06/02/2024,18:41:57,0,51,69,2943,3615,8823,16577,3188,2661,3517,471
06/02/2024,18:41:58,0,47,81,17474,19126,22453,57756,9616,3856,1618,2636
06/02/2024,18:41:59,0,51,54,14856,27670,288,6201,5162,3109,1196,1502
06/02/2024,18:42:00,0,51,43,12637,55685,20301,6893,16139,6913,2695,2012
06/02/2024,18:42:01,0,48,30,33690,30363,19331,6179,7177,3569,2164,1395
06/02/2024,18:42:02,0,53,21,122289,8349,8807,4838,5751,1452,902,544
06/02/2024,18:42:03,0,51,29,1396,11486,3523,7106,12790,1706,1505,677
06/02/2024,18:42:04,0,56,35,16203,9379,3004,8206,3981,3019,689,1815
06/02/2024,18:42:05,0,63,27,30246,21801,5629,4826,6512,3649,1333,1423
06/02/2024,18:42:06,0,78,20,3112,9127,2470,3633,3707,5186,2797,738
06/02/2024,18:42:07,0,94,23,7883,9205,9732,6893,8465,11867,1804,858
06/02/2024,18:42:08,0,100,27,9760,9362,9549,11621,3623,8634,1527,1322
06/02/2024,18:42:09,0,96,38,19347,23895,4484,28402,1811,3105,1737,2060
06/02/2024,18:42:10,0,87,50,3038,13670,2506,35179,12579,6405,4921,912
06/02/2024,18:42:11,0,60,47,99253,47496,17695,1669,2951,2100,501,345
06/02/2024,18:42:12,0,43,50,40785,44199,21382,91879,18862,7370,1780,1954
06/02/2024,18:42:13,0,53,48,8360,24534,10865,24892,5452,9910,1598,2029
06/02/2024,18:42:14,0,48,47,10337,21094,15726,23927,10246,4236,2610,846
06/02/2024,18:42:15,0,63,54,35467,20711,9884,25096,6251,9201,2054,2751
06/02/2024,18:42:16,0,75,43,42702,22912,2662,10891,5270,5250,1570,899
06/02/2024,18:42:17,0,67,41,9099,16577,7531,7953,3991,3061,2156,1264
06/02/2024,18:42:18,0,64,44,12547,18247,3826,50533,7145,3612,1302,1152
06/02/2024,18:42:19,0,60,48,1205,7079,5486,15922,5569,2306,2825,2213
06/02/2024,18:42:20,0,53,56,3195,11466,848,14080,2046,1984,1169,1220
06/02/2024,18:42:21,0,61,63,1254,6608,4412,16431,1950,5413,1857,1514
06/02/2024,18:42:22,0,74,53,2284,6563,3214,6024,5578,3148,3470,784
06/02/2024,18:42:23,0,83,50,16615,3910,3526,7049,2788,3639,2394,826
06/02/2024,18:42:24,0,90,54,1306,8686,21845,8214,4071,5653,1164,1135
06/02/2024,18:42:25,0,75,44,19651,20074,550,11095,5628,1289,1709,2365
06/02/2024,18:42:26,0,70,47,14206,9352,12239,10419,12787,4596,3339,1208
06/02/2024,18:42:27,0,57,48,11537,21617,12178,20833,4113,3563,2654,1461
06/02/2024,18:42:28,0,40,37,15936,149461,28363,39720,17238,5218,4881,3195
06/02/2024,18:42:29,0,47,41,18830,19982,11527,1798,1782,2613,249,54
06/02/2024,18:42:30,0,47,34,23701,18900,1557,8157,4311,3658,3095,3430
06/02/2024,18:42:31,0,44,24,291503,107260,18894,42027,33606,9032,1981,1620
06/02/2024,18:42:32,0,54,35,32909,15755,33133,18618,17584,5465,2795,3747
06/02/2024,18:42:33,0,47,35,328991,33980,13892,11800,3964,1828,685,383
06/02/2024,18:42:34,0,34,54,284136,43180,6573,229515,26211,9569,5675,3997
06/02/2024,18:42:35,0,40,66,8357,14690,14467,33887,9707,6211,3143,3115
06/02/2024,18:42:36,0,29,74,297977,25188,41375,70999,14658,3994,2050,2101
06/02/2024,18:42:37,0,37,88,29370,9870,21294,47897,5730,4448,3011,2079
06/02/2024,18:42:38,0,41,87,51817,37339,38859,95646,9120,9849,2776,2484
06/02/2024,18:42:39,0,34,100,8299,17253,17642,268310,4644,12419,2343,1004
06/02/2024,18:42:40,0,29,100,15877,47792,8767,140795,5437,4289,3581,1128
06/02/2024,18:42:41,0,26,100,57822,22159,27200,76632,7807,4689,4204,9063
06/02/2024,18:42:42,0,13,100,86823,37113,31263,100129,5719,2340,5748,2432
06/02/2024,18:42:43,0,30,87,49218,16384,9659,54870,7582,20611,4686,2488
06/02/2024,18:42:44,0,30,96,11327,12542,129034,76326,7980,4989,1945,663
06/02/2024,18:42:45,0,37,88,61585,36153,2562,69578,15518,6997,2218,1647
06/02/2024,18:42:46,0,47,87,4890,22108,5573,70132,5510,3609,1137,1015
06/02/2024,18:42:47,0,34,94,1366,5186,12717,58387,5856,5417,2540,722
06/02/2024,18:42:48,0,40,88,10346,22755,13653,128164,8759,7226,1030,1491
06/02/2024,18:42:49,0,43,94,25360,18619,60974,31045,11001,10743,1353,1596
06/02/2024,18:42:50,0,43,100,16886,15931,26773,155841,16361,8178,1859,1382
06/02/2024,18:42:51,0,48,93,3752,13373,9245,40452,7740,7384,1555,1186
06/02/2024,18:42:52,0,50,91,40071,26066,82224,47834,13729,7848,4451,2720
06/02/2024,18:42:53,0,44,81,365592,70011,8427,59785,4714,7291,2092,1360
06/02/2024,18:42:54,0,51,66,74986,7178,1547,8113,2032,1567,379,178
06/02/2024,18:42:55,0,44,70,4538,21228,44846,76675,12298,7217,1046,1325
06/02/2024,18:42:56,0,37,78,7988,7318,34547,86049,11747,3199,1466,1179
06/02/2024,18:42:57,0,41,78,2753,26055,4100,27489,7690,5099,1374,597
06/02/2024,18:42:58,0,30,96,9361,5890,21754,112151,7221,5021,1993,3668
06/02/2024,18:42:59,0,30,96,1304,18151,12640,74900,9444,4645,1842,1254
06/02/2024,18:43:00,0,41,80,20832,31225,2375,33047,6581,5372,1680,1292
06/02/2024,18:43:01,0,43,80,506343,7612,6850,5144,3166,1848,446,892
06/02/2024,18:43:02,0,48,50,121232,166340,20898,38770,10029,12753,4701,835
06/02/2024,18:43:03,0,61,51,44804,4923,9198,65675,3864,14880,6095,6312
06/02/2024,18:43:04,0,60,61,34711,24977,13188,107949,8808,8105,2561,4908
06/02/2024,18:43:05,0,61,63,17099,25105,13913,35400,4746,8954,1705,1267
06/02/2024,18:43:06,0,74,80,7736,4645,11903,18952,3529,7440,1050,719
06/02/2024,18:43:07,0,60,83,5769,10490,2589,98265,8661,5156,2387,1022
06/02/2024,18:43:08,0,64,75,6584,12555,19020,11558,8046,3859,1153,409
06/02/2024,18:43:09,0,64,75,3071,6668,10308,13025,7023,3554,1545,812
06/02/2024,18:43:10,0,61,78,1354,7758,27575,27994,4239,8842,1749,514
06/02/2024,18:43:11,0,50,67,45126,86042,71048,61026,5888,3297,2821,1158
06/02/2024,18:43:12,0,29,44,741700,595573,4695,22425,15683,7624,2770,2060
06/02/2024,18:43:13,0,23,43,203189,94227,24387,75206,20388,11821,14378,4788
06/02/2024,18:43:14,0,8,50,13812,9362,15419,58870,4077,2374,2190,1052
06/02/2024,18:43:15,0,26,53,16826,12326,23462,22343,4386,6098,1081,1318
06/02/2024,18:43:16,0,40,78,603122,38918,36124,14206,5646,3909,1224,336
06/02/2024,18:43:17,0,37,69,153893,32195,2005,8429,998,1775,792,313
06/02/2024,18:43:18,0,44,51,116085,31642,16066,3442,6511,3366,393,334
06/02/2024,18:43:19,0,41,44,144353,34122,6674,23696,3790,4542,1964,728
06/02/2024,18:43:20,0,54,37,29315,3783,1419,6348,14739,2300,2621,612
06/02/2024,18:43:21,0,69,44,3233,6950,1349,14186,7570,4335,1320,966
06/02/2024,18:43:22,0,67,43,267667,21713,287,11575,6105,1836,461,234
06/02/2024,18:43:23,0,81,44,27639,6574,2041,15277,6501,6458,1755,1277
06/02/2024,18:43:24,0,75,48,7805,13210,982,11167,5561,2404,1256,873
06/02/2024,18:43:25,0,70,41,535111,14583,4033,3803,3877,3189,2543,1593
06/02/2024,18:43:26,0,81,50,10290,4167,3694,9470,4083,2591,1071,1069
06/02/2024,18:43:27,0,69,50,2659,10148,8899,4447,2588,1970,1468,666
06/02/2024,18:43:28,0,74,53,707,7653,1536,12154,6899,2748,1348,1774
06/02/2024,18:43:29,0,57,61,3909,12523,8184,13322,2962,1190,1304,777
06/02/2024,18:43:30,0,56,66,7043,6804,14006,20349,3595,5070,967,2278
06/02/2024,18:43:31,0,54,69,8526,8688,11728,16654,10408,3243,1358,397
06/02/2024,18:43:32,0,53,70,21406,10503,5328,16344,4725,3228,1690,1774
06/02/2024,18:43:33,0,64,69,20677,14056,6369,17438,7918,4588,2408,974
06/02/2024,18:43:34,0,75,57,4774,8063,9047,932,3396,6197,2235,1269
06/02/2024,18:43:35,0,77,56,33535,24718,13383,21375,3631,5297,2746,1533
06/02/2024,18:43:36,0,64,43,159207,36140,3422,4008,1928,1399,663,247
06/02/2024,18:43:37,0,57,60,8121,4290,4232,76059,2837,4593,1858,2035
06/02/2024,18:43:38,0,48,64,20176,12435,2750,22002,6208,5339,4383,1218
06/02/2024,18:43:39,0,44,70,23125,12619,3906,56208,7290,3847,2850,1245
06/02/2024,18:43:40,0,60,83,51011,11988,16845,2765,6587,5107,2970,766
06/02/2024,18:43:41,0,70,70,9624,6711,15201,13863,8547,6873,1961,1200
06/02/2024,18:43:42,0,61,77,18950,14849,11265,39824,6128,3234,1283,1597
06/02/2024,18:43:43,0,70,70,8201,5083,18922,10592,12548,5900,1586,1102
06/02/2024,18:43:44,0,61,78,25418,10656,6684,32394,3415,2786,1568,2733
06/02/2024,18:43:45,0,43,83,1381,16700,19958,39077,7473,2359,2396,1365
06/02/2024,18:43:46,0,63,77,12957,6248,1918,17187,5262,8476,4839,1222
06/02/2024,18:43:47,0,56,81,10675,15383,4791,50868,4241,5190,1664,1510
06/02/2024,18:43:48,0,56,78,8896,10825,4410,35082,13912,2823,1601,1130
06/02/2024,18:43:49,0,61,77,9858,25659,30589,35950,4730,4281,1677,2531
06/02/2024,18:43:50,0,47,78,10491,17396,11288,41845,11065,5180,2972,1079
06/02/2024,18:43:51,0,57,61,21232,24462,6503,6554,12149,10252,4076,690
06/02/2024,18:43:52,0,48,61,30366,56182,58007,24705,8225,3051,1435,1721
06/02/2024,18:43:53,0,63,50,40835,13630,4639,8704,10437,6613,1422,1530
06/02/2024,18:43:54,0,67,51,8297,3320,10978,9897,5314,2694,2645,817
06/02/2024,18:43:55,0,60,70,24573,4121,11987,20844,2337,4236,3377,1350
06/02/2024,18:43:56,0,77,69,5591,28638,11111,36695,11055,10192,3812,1767
06/02/2024,18:43:57,0,66,75,3002,20266,9242,18978,3210,3478,2995,1663
06/02/2024,18:43:58,0,61,80,20410,12825,64856,13313,6118,6197,3524,2069
